deviation,scaled time dev,scaled order dev,depth,confidence,Date,Length (s),Winner,Players,filename
0.1261,0.1126,0.1396,131,0.896,2019-05-31 01:19;40,780.4017857142858,NULL,(P)NULL vs ,2019-05-30 - (P)NULL VS (Z)Haffey.SC2Replay
0.1382,0.1381,0.1383,131,0.9359,2019-05-31 02:40;02,1297.9910714285716,NULL,(P)NULL vs ,2019-05-30 - (P)NULL VS (Z)Scoredlocket.SC2Replay
0.1011,0.0858,0.1164,131,0.9382,2019-05-31 02:00;26,775.3125,NULL,(Z)Sneakyhippo vs ,2019-05-30 - (Z)Sneakyhippo VS (P)NULL.SC2Replay
0.1268,0.1149,0.1388,131,0.9919,2019-05-31 23:01;35,704.8660714285714,doingjenkem,(P)NULL vs ,2019-05-31 - (P)NULL VS (Z)doingjenkem.SC2Replay
0.1382,0.114,0.1624,131,0.9101,2019-06-03 23:00;04,653.7053571428572,NULL,(P)NULL vs ,2019-06-03 - (P)NULL VS (Z)FirestarX.SC2Replay
0.1136,0.1032,0.124,131,0.8801,2019-06-05 23:54;18,858.3928571428572,NULL,(Z)Canis vs ,2019-06-05 - (Z)Canis VS (P)NULL.SC2Replay
0.1229,0.1099,0.136,131,0.9699,2019-07-05 14:07;26,751.2053571428572,NULL,(Z)Matsukawa vs ,2019-07-05 - (Z)Matsukawa VS (P)NULL.SC2Replay
0.1221,0.1033,0.1409,131,0.7459,2019-07-10 23:41;21,838.0803571428572,JINHO,(Z)JINHO vs ,2019-07-10 - (Z)JINHO VS (P)NULL.SC2Replay
0.1291,0.1121,0.146,131,0.8676,2019-07-10 23:19;33,792.6339285714287,NULL,(Z)Visser vs ,2019-07-10 - (Z)Visser VS (P)NULL.SC2Replay
0.1599,0.1237,0.1962,131,0.7558,2019-07-11 00:11;25,1238.0357142857144,Weenersaurus,(Z)Weenersaurus vs ,2019-07-10 - (Z)Weenersaurus VS (P)NULL.SC2Replay
0.1108,0.1129,0.1088,131,0.9978,2019-07-23 23:13;30,547.4107142857143,NULL,(P)NULL vs ,2019-07-23 - (P)NULL VS (Z)Strade.SC2Replay
